Cosine Similarity,Class,Modality Pair,i,j
0.8161789,6,rgb_pca,0,1
0.8046098,6,rgb_pca,0,1
0.8141822,6,rgb_pca,0,1
0.8435209,6,rgb_pca,0,1
0.8662785,6,rgb_pca,0,1
0.72623074,6,rgb_pca,0,1
0.7229348,6,rgb_pca,0,1
0.75138676,6,rgb_pca,0,1
0.74287987,6,rgb_pca,0,1
0.80446696,6,rgb_pca,0,1
0.7546943,6,rgb_pca,0,1
0.7732066,6,rgb_pca,0,1
0.77327716,6,rgb_pca,0,1
0.7489552,6,rgb_pca,0,1
0.75629175,6,rgb_pca,0,1
0.80945545,6,rgb_pca,0,1
0.8069538,6,rgb_pca,0,1
0.8256009,6,rgb_pca,0,1
0.8116461,6,rgb_pca,0,1
0.784039,6,rgb_pca,0,1
0.7860271,6,rgb_pca,0,1
0.80733114,6,rgb_pca,0,1
0.7781378,6,rgb_pca,0,1
0.7955494,6,rgb_pca,0,1
0.7820935,6,rgb_pca,0,1
0.7914698,6,rgb_pca,0,1
0.79483736,6,rgb_pca,0,1
0.80906606,6,rgb_pca,0,1
0.821758,6,rgb_pca,0,1
0.8173086,6,rgb_pca,0,1
0.83109146,6,rgb_pca,0,1
0.8322648,6,rgb_pca,0,1
0.8240014,6,rgb_pca,0,1
0.79183793,6,rgb_pca,0,1
0.79441094,6,rgb_pca,0,1
0.8284534,6,rgb_pca,0,1
0.8180957,6,rgb_pca,0,1
0.8367722,6,rgb_pca,0,1
0.81758666,6,rgb_pca,0,1
0.7934897,6,rgb_pca,0,1
0.7838395,6,rgb_pca,0,1
0.79806536,6,rgb_pca,0,1
0.80044055,6,rgb_pca,0,1
0.8226184,6,rgb_pca,0,1
0.8309142,6,rgb_pca,0,1
0.79919624,6,rgb_pca,0,1
0.8012363,6,rgb_pca,0,1
0.8325174,6,rgb_pca,0,1
0.8348905,6,rgb_pca,0,1
0.8602239,6,rgb_pca,0,1
0.86453736,6,rgb_pca,0,1
0.8347934,6,rgb_pca,0,1
0.8449391,6,rgb_pca,0,1
0.80938023,6,rgb_pca,0,1
0.8341196,6,rgb_pca,0,1
0.82526183,6,rgb_pca,0,1
0.7973945,6,rgb_pca,0,1
0.83507824,6,rgb_pca,0,1
0.7557091,6,rgb_pca,0,1
0.77534574,6,rgb_pca,0,1
0.8208959,6,rgb_pca,0,1
0.79701734,6,rgb_pca,0,1
0.77426404,6,rgb_pca,0,1
0.8243823,6,rgb_pca,0,1
0.7768369,6,rgb_pca,0,1
0.8184846,6,rgb_pca,0,1
0.80167073,6,rgb_pca,0,1
0.78024024,6,rgb_pca,0,1
0.8129043,6,rgb_pca,0,1
0.76672846,6,rgb_pca,0,1
0.8202549,6,rgb_pca,0,1
0.802793,6,rgb_pca,0,1
0.76923966,6,rgb_pca,0,1
0.80477387,6,rgb_pca,0,1
0.77218693,2,rgb_pca,0,1
0.7592025,2,rgb_pca,0,1
0.76394045,2,rgb_pca,0,1
0.78536856,2,rgb_pca,0,1
0.8066089,2,rgb_pca,0,1
0.8019343,2,rgb_pca,0,1
0.8479496,2,rgb_pca,0,1
0.8386672,2,rgb_pca,0,1
0.8241019,2,rgb_pca,0,1
0.83387375,2,rgb_pca,0,1
0.79346836,2,rgb_pca,0,1
0.78050685,2,rgb_pca,0,1
0.8648074,2,rgb_pca,0,1
0.8430413,2,rgb_pca,0,1
0.82151914,2,rgb_pca,0,1
0.82197124,2,rgb_pca,0,1
0.7704054,2,rgb_pca,0,1
0.7371397,2,rgb_pca,0,1
0.6018466,2,rgb_pca,0,1
0.6789063,2,rgb_pca,0,1
0.78754115,2,rgb_pca,0,1
0.8298105,2,rgb_pca,0,1
0.73960876,2,rgb_pca,0,1
0.61246586,2,rgb_pca,0,1
0.6668289,2,rgb_pca,0,1
0.78300315,2,rgb_pca,0,1
0.82409775,2,rgb_pca,0,1
0.8466939,6,rgb_pca,0,1
0.8592034,6,rgb_pca,0,1
0.8511827,6,rgb_pca,0,1
0.8654388,6,rgb_pca,0,1
0.8770032,6,rgb_pca,0,1
0.87290967,6,rgb_pca,0,1
0.8566489,6,rgb_pca,0,1
0.7780428,6,rgb_pca,0,1
0.8051188,6,rgb_pca,0,1
0.791656,6,rgb_pca,0,1
0.7844837,6,rgb_pca,0,1
0.7889631,6,rgb_pca,0,1
0.77905,6,rgb_pca,0,1
0.76767135,6,rgb_pca,0,1
0.7958369,6,rgb_pca,0,1
0.80018735,6,rgb_pca,0,1
0.8125645,6,rgb_pca,0,1
0.8161046,6,rgb_pca,0,1
0.81118053,6,rgb_pca,0,1
0.7986588,6,rgb_pca,0,1
0.79141545,6,rgb_pca,0,1
0.779234,6,rgb_pca,0,1
0.81507534,6,rgb_pca,0,1
0.82735974,6,rgb_pca,0,1
0.7994245,6,rgb_pca,0,1
0.8183419,6,rgb_pca,0,1
0.78582275,6,rgb_pca,0,1
0.768894,6,rgb_pca,0,1
0.81639355,6,rgb_pca,0,1
0.8104515,6,rgb_pca,0,1
0.80243045,6,rgb_pca,0,1
0.7941195,6,rgb_pca,0,1
0.7995098,6,rgb_pca,0,1
0.7837306,6,rgb_pca,0,1
0.770029,6,rgb_pca,0,1
0.7874279,6,rgb_pca,0,1
0.8223833,6,rgb_pca,0,1
0.8296238,6,rgb_pca,0,1
0.8312882,6,rgb_pca,0,1
0.83794296,6,rgb_pca,0,1
0.8402188,6,rgb_pca,0,1
0.8448602,6,rgb_pca,0,1
0.8249197,6,rgb_pca,0,1
0.7953012,6,rgb_pca,0,1
0.8103415,6,rgb_pca,0,1
0.81340617,6,rgb_pca,0,1
0.819044,6,rgb_pca,0,1
0.81920195,6,rgb_pca,0,1
0.8392383,6,rgb_pca,0,1
0.839451,6,rgb_pca,0,1
0.81531906,6,rgb_pca,0,1
0.78721404,6,rgb_pca,0,1
0.8006535,6,rgb_pca,0,1
0.78427786,6,rgb_pca,0,1
0.8278961,6,rgb_pca,0,1
0.82868606,6,rgb_pca,0,1
0.8327943,6,rgb_pca,0,1
0.83806026,6,rgb_pca,0,1
0.8370944,6,rgb_pca,0,1
0.8095841,6,rgb_pca,0,1
0.7520595,6,rgb_pca,0,1
0.75964475,6,rgb_pca,0,1
0.8109765,6,rgb_pca,0,1
0.8619794,6,rgb_pca,0,1
0.8674049,6,rgb_pca,0,1
0.87193716,6,rgb_pca,0,1
0.86226267,6,rgb_pca,0,1
0.8730606,6,rgb_pca,0,1
0.8407252,6,rgb_pca,0,1
0.7799329,6,rgb_pca,0,1
0.805397,6,rgb_pca,0,1
0.8155203,6,rgb_pca,0,1
0.8109479,6,rgb_pca,0,1
0.8218663,6,rgb_pca,0,1
0.8362514,6,rgb_pca,0,1
0.8405384,6,rgb_pca,0,1
0.8090776,6,rgb_pca,0,1
0.7336571,6,rgb_pca,0,1
0.75142133,6,rgb_pca,0,1
0.77805495,6,rgb_pca,0,1
0.7900622,6,rgb_pca,0,1
0.7812893,6,rgb_pca,0,1
0.79280937,6,rgb_pca,0,1
0.7971244,6,rgb_pca,0,1
0.7832773,6,rgb_pca,0,1
0.7903597,6,rgb_pca,0,1
0.75614125,6,rgb_pca,0,1
0.6956262,6,rgb_pca,0,1
0.73474705,6,rgb_pca,0,1
0.77249503,6,rgb_pca,0,1
0.79596204,6,rgb_pca,0,1
0.78759253,6,rgb_pca,0,1
0.7681831,6,rgb_pca,0,1
0.7382878,6,rgb_pca,0,1
0.7577846,6,rgb_pca,0,1
0.7511413,6,rgb_pca,0,1
0.7761524,6,rgb_pca,0,1
0.7808121,6,rgb_pca,0,1
0.7572629,6,rgb_pca,0,1
0.79190975,6,rgb_pca,0,1
0.7451744,6,rgb_pca,0,1
0.75772697,6,rgb_pca,0,1
0.7539309,6,rgb_pca,0,1
0.77377856,6,rgb_pca,0,1
0.7599941,6,rgb_pca,0,1
0.7779108,6,rgb_pca,0,1
0.78482425,6,rgb_pca,0,1
0.73863804,6,rgb_pca,0,1
0.7659575,6,rgb_pca,0,1
0.7654698,2,rgb_pca,0,1
0.7846432,2,rgb_pca,0,1
0.7559086,2,rgb_pca,0,1
0.7658285,2,rgb_pca,0,1
0.7727157,2,rgb_pca,0,1
0.75249386,2,rgb_pca,0,1
0.77400255,2,rgb_pca,0,1
0.8150813,2,rgb_pca,0,1
0.7598644,2,rgb_pca,0,1
0.75122947,2,rgb_pca,0,1
0.75604886,2,rgb_pca,0,1
0.77716535,2,rgb_pca,0,1
0.8209425,2,rgb_pca,0,1
0.80730104,2,rgb_pca,0,1
0.7869536,2,rgb_pca,0,1
0.8093173,2,rgb_pca,0,1
0.7239079,2,rgb_pca,0,1
0.69591063,2,rgb_pca,0,1
0.60696113,2,rgb_pca,0,1
0.61113393,2,rgb_pca,0,1
0.75387466,2,rgb_pca,0,1
0.80693483,2,rgb_pca,0,1
0.65247613,2,rgb_pca,0,1
0.5570128,2,rgb_pca,0,1
0.5806832,2,rgb_pca,0,1
0.75437355,2,rgb_pca,0,1
0.8131702,2,rgb_pca,0,1
0.88191247,6,rgb_pca,0,1
0.8599569,6,rgb_pca,0,1
0.86633885,6,rgb_pca,0,1
0.80961305,6,rgb_pca,0,1
0.8482021,6,rgb_pca,0,1
0.82685745,6,rgb_pca,0,1
0.80383044,6,rgb_pca,0,1
0.7596049,6,rgb_pca,0,1
0.82558084,6,rgb_pca,0,1
0.78517747,6,rgb_pca,0,1
0.8317765,6,rgb_pca,0,1
0.7943603,6,rgb_pca,0,1
0.77187496,6,rgb_pca,0,1
0.8375292,6,rgb_pca,0,1
0.8116853,6,rgb_pca,0,1
0.7601192,6,rgb_pca,0,1
0.86000544,6,rgb_pca,0,1
0.83777547,6,rgb_pca,0,1
0.8077899,6,rgb_pca,0,1
0.8265521,6,rgb_pca,0,1
0.80696946,6,rgb_pca,0,1
0.8002309,6,rgb_pca,0,1
0.81463397,6,rgb_pca,0,1
0.8142125,6,rgb_pca,0,1
0.797566,6,rgb_pca,0,1
0.7721052,6,rgb_pca,0,1
0.7918082,6,rgb_pca,0,1
0.83395076,6,rgb_pca,0,1
0.79883623,6,rgb_pca,0,1
0.7491474,6,rgb_pca,0,1
0.75995004,6,rgb_pca,0,1
0.8473579,6,rgb_pca,0,1
0.80727434,6,rgb_pca,0,1
0.73466706,6,rgb_pca,0,1
0.76632005,6,rgb_pca,0,1
0.8063685,2,rgb_pca,0,1
0.8073207,2,rgb_pca,0,1
0.8108779,2,rgb_pca,0,1
0.83228785,2,rgb_pca,0,1
0.82180566,2,rgb_pca,0,1
0.8081382,2,rgb_pca,0,1
0.82302344,2,rgb_pca,0,1
0.8247689,2,rgb_pca,0,1
0.79190665,2,rgb_pca,0,1
0.7861787,2,rgb_pca,0,1
0.73592734,2,rgb_pca,0,1
0.7446822,2,rgb_pca,0,1
0.84217954,2,rgb_pca,0,1
0.8179518,2,rgb_pca,0,1
0.76856315,2,rgb_pca,0,1
0.7774835,2,rgb_pca,0,1
0.78413075,2,rgb_pca,0,1
0.7594168,2,rgb_pca,0,1
0.6738925,2,rgb_pca,0,1
0.6515679,2,rgb_pca,0,1
0.7545711,2,rgb_pca,0,1
0.8086351,2,rgb_pca,0,1
0.77014333,2,rgb_pca,0,1
0.6624905,2,rgb_pca,0,1
0.6197657,2,rgb_pca,0,1
0.74485826,2,rgb_pca,0,1
0.8165027,2,rgb_pca,0,1
0.75653213,2,rgb_pca,0,1
0.7301633,2,rgb_pca,0,1
0.79322493,2,rgb_pca,0,1
0.802866,2,rgb_pca,0,1
0.80475134,2,rgb_pca,0,1
0.8131498,2,rgb_pca,0,1
0.8241019,2,rgb_pca,0,1
0.7982441,2,rgb_pca,0,1
0.74688953,2,rgb_pca,0,1
0.7662542,2,rgb_pca,0,1
0.78528833,2,rgb_pca,0,1
0.77598643,2,rgb_pca,0,1
0.76136804,2,rgb_pca,0,1
0.7645552,2,rgb_pca,0,1
0.78605723,2,rgb_pca,0,1
0.7770196,2,rgb_pca,0,1
0.7531829,2,rgb_pca,0,1
0.7252134,2,rgb_pca,0,1
0.5736091,2,rgb_pca,0,1
0.5624168,2,rgb_pca,0,1
