epoch,train_loss,validation_loss,validation_accuracy
1,0.7426,0.418,0.8691
2,0.3747,0.3057,0.9057
3,0.2995,0.2813,0.9072
4,0.2676,0.2653,0.913
5,0.2492,0.2586,0.9131
6,0.2293,0.2245,0.9219
7,0.2166,0.2252,0.9248
8,0.2088,0.2215,0.9228
9,0.1993,0.2166,0.927
10,0.1985,0.2122,0.9283
11,0.1914,0.1946,0.9326
12,0.1858,0.1974,0.9348
13,0.1801,0.1994,0.9328
14,0.1788,0.1879,0.9387
15,0.1727,0.192,0.9343
16,0.17,0.1969,0.933
17,0.164,0.19,0.9361
18,0.17,0.1976,0.933
19,0.1673,0.1773,0.9406
20,0.1676,0.1735,0.9409
21,0.1608,0.1724,0.9385
22,0.1585,0.1731,0.942
23,0.1586,0.1881,0.9344
24,0.1529,0.1781,0.9365
25,0.1565,0.1706,0.9422
26,0.1525,0.1667,0.9454
27,0.1501,0.184,0.938
28,0.1473,0.1765,0.9396
29,0.1481,0.1677,0.9448
30,0.151,0.1668,0.9426
31,0.148,0.1855,0.9369
32,0.146,0.1597,0.9461
33,0.146,0.189,0.9374
